Date,pe_ratio
1923-12-01,8.724489795918368
1924-01-01,9.048985447837671
1924-02-01,9.12833178964701
1924-03-01,8.992248062015502
1924-04-01,8.823834734765908
1924-05-01,8.830275229357799
1924-06-01,9.036649214659686
1924-07-01,9.497265460664703
1924-08-01,9.865849794021337
1924-09-01,9.814323607427056
1924-10-01,9.730363423212193
1924-11-01,10.318989509740955
1924-12-01,10.924731182795698
1925-01-01,11.058848123758754
1925-02-01,10.851215295433745
1925-03-01,10.287128712871288
1925-04-01,9.91321118611379
1925-05-01,9.981185324553152
1925-06-01,9.908256880733944
1925-07-01,9.937332139659803
1925-08-01,9.84251968503937
1925-09-01,9.837606837606838
1925-10-01,9.933166248955722
1925-11-01,10.024529844644317
1925-12-01,9.968
1926-01-01,10.128102481985588
1926-02-01,10.15224358974359
1926-03-01,9.463141025641026
1926-04-01,9.206094627105053
1926-05-01,9.2776886035313
1926-06-01,9.726907630522087
1926-07-01,10.144694533762058
1926-08-01,10.555108608205952
1926-09-01,10.72463768115942
1926-10-01,10.483091787439614
1926-11-01,10.628525382755841
1926-12-01,10.879032258064516
1927-01-01,10.903173311635475
1927-02-01,11.215106732348112
1927-03-01,11.4817880794702
1927-04-01,11.871345029239766
1927-05-01,12.39460370994941
1927-06-01,12.672340425531916
1927-07-01,13.075601374570448
1927-08-01,13.902862098872507
1927-09-01,14.820647419072618
1927-10-01,14.734982332155479
1927-11-01,15.218554861730597
1927-12-01,15.72972972972973
1928-01-01,15.472197705207416
1928-02-01,14.995670995670995
1928-03-01,15.505522514868309
1928-04-01,16.166666666666668
1928-05-01,16.366612111292962
1928-06-01,15.277108433734938
1928-07-01,15.110410094637224
1928-08-01,15.333333333333334
1928-09-01,16.135670731707318
1928-10-01,16.179775280898877
1928-11-01,16.9933677229182
1928-12-01,16.77536231884058
1929-01-01,17.769835596854897
1929-02-01,17.623413258110013
1929-03-01,17.684283727399166
1929-04-01,17.350720658888125
1929-05-01,17.384823848238483
1929-06-01,17.49163879598662
1929-07-01,18.8110964332893
1929-08-01,19.634703196347033
1929-09-01,20.167525773195877
1929-10-01,17.80534351145038
1929-11-01,12.935260842237586
1929-12-01,13.291925465838508
1930-01-01,13.943481053307645
1930-02-01,15.34930139720559
1930-03-01,16.51034482758621
1930-04-01,18.224767358625627
1930-05-01,17.82576321667908
1930-06-01,16.682170542635657
1930-07-01,17.0250606305578
1930-08-01,17.57396449704142
1930-09-01,18.389380530973455
1930-10-01,16.638811513463327
1930-11-01,16.246334310850443
1930-12-01,15.989690721649485
1931-01-01,17.0
1931-02-01,18.901098901098898
1931-03-01,19.920454545454547
1931-04-01,18.658823529411766
1931-05-01,17.475609756097562
1931-06-01,17.556962025316455
1931-07-01,18.855263157894736
1931-08-01,19.04109589041096
1931-09-01,16.900000000000002
1931-10-01,15.298507462686567
1931-11-01,16.234375
1931-12-01,13.836065573770492
1932-01-01,13.989549974717681
1932-02-01,14.270851395873072
1932-03-01,14.749999999999998
1932-04-01,11.558991349162525
1932-05-01,10.461363204860453
1932-06-01,9.352941176470587
1932-07-01,10.156091627812689
1932-08-01,15.796098174952801
1932-09-01,17.956521739130434
1932-10-01,16.061357996841867
1932-11-01,16.522146707288492
1932-12-01,16.634146341463417
1933-01-01,17.187878787878788
1933-02-01,15.060240963855422
1933-03-01,14.922155688622755
1933-04-01,16.404761904761905
1933-05-01,20.994082840236686
1933-06-01,24.447058823529414
1933-07-01,26.269005847953217
1933-08-01,24.813953488372093
1933-09-01,24.46242774566474
